"","Word","Length","Freq_KF","Freq_HAL","SUBTLWF","Ortho_N","Phono_N","NSyll","NMorph","I_Mean_RT","I_Zscore","Obs","I_Mean_Accuracy"
"5665","SOCHI",5,"#","22","#",0,0,"2","#","#","#","#","#"
"5666","sodas",5,"#","264","1.060",2,5,"2","2","#","#","#","#"
"5667","SOFAR",5,"#","125","0.020",3,1,"2","#","#","#","#","#"
"5668","SOKOL",5,"#","162","#",0,2,"2","#","#","#","#","#"
"5669","soled",5,"#","57","#",6,28,"1","2","#","#","#","#"
"5670","SOMAY",5,"#","2","#",0,0,"#","#","#","#","#","#"
"5671","sonsy",5,"#","1","#",1,1,"2","#","#","#","#","#"
"5672","soots",5,"#","12","#",15,14,"1","#","#","#","#","#"
"5673","soppy",5,"#","33","0.120",3,12,"2","2","#","#","#","#"
"5674","SOR'L",5,"#","0","#",0,0,"#","#","#","#","#","#"
"5675","sorer",5,"#","14","0.060",6,12,"2","2","#","#","#","#"
"5676","Sotho",5,"#","10","#",0,0,"#","#","#","#","#","#"
"5677","SOTUN",5,"#","0","#",0,0,"#","#","#","#","#","#"
"5678","SOUCI",5,"#","39","#",0,0,"#","#","#","#","#","#"
"5679","sough",5,"3","7","#",10,23,"1","1","#","#","#","#"
"5680","SOULD",5,"#","659","#",8,0,"#","#","#","#","#","#"
"5681","SOULE",5,"#","52","#",4,24,"1","#","#","#","#","#"
"5682","SOUSA",5,"#","186","#",1,2,"2","1","#","#","#","#"
"5683","souse",5,"1","13","0.310",8,15,"1","1","#","#","#","#"
"5684","sowed",5,"#","95","0.140",11,46,"1","2","#","#","#","#"
"5685","sower",5,"#","59","0.100",12,18,"1","2","#","#","#","#"
"5686","SPADA",5,"#","59","#",1,0,"2","#","#","#","#","#"
"5687","SPAHN",5,"#","139","#",3,13,"1","#","#","#","#","#"
"5688","spars",5,"#","223","0.040",10,11,"1","2","#","#","#","#"
"5689","spate",5,"2","290","0.200",9,15,"1","1","#","#","#","#"
"5690","spays",5,"#","5","#",7,14,"1","2","#","#","#","#"
"5691","specs",5,"#","10,547","2.080",2,7,"1","2","#","#","#","#"
"5692","SPEER",5,"#","317","0.080",5,9,"1","#","#","#","#","#"
"5693","spelt",5,"#","591","0.250",4,9,"1","1","#","#","#","#"
"5694","spews",5,"#","441","0.040",4,2,"1","2","#","#","#","#"
"5695","spied",5,"#","252","0.730",5,15,"1","2","#","#","#","#"
"5696","spilt",5,"1","251","0.820",3,6,"1","2","#","#","#","#"
"5697","spins",5,"#","2,036","1.920",8,11,"1","2","#","#","#","#"
"5698","spits",5,"#","744","1.200",10,7,"1","2","#","#","#","#"
"5699","spivs",5,"#","1","#",3,3,"1","2","#","#","#","#"
"5700","Spode",5,"#","54","0.060",3,11,"1","#","#","#","#","#"
"5701","spoor",5,"1","81","0.160",4,6,"1","1","#","#","#","#"
"5702","sprat",5,"1","15","0.240",3,5,"1","1","#","#","#","#"
"5703","sprit",5,"#","137","0.020",3,6,"1","1","#","#","#","#"
"5704","SPRUE",5,"#","97","#",1,6,"1","1","#","#","#","#"
"5705","spuds",5,"#","207","0.450",3,4,"1","2","#","#","#","#"
"5706","spume",5,"1","11","#",0,2,"1","1","#","#","#","#"
"5707","squib",5,"1","46","0.160",2,2,"1","1","#","#","#","#"
"5708","stagy",5,"1","2","0.040",3,6,"2","2","#","#","#","#"
"5709","STANS",5,"#","24","#",10,0,"1","#","#","#","#","#"
"5710","STARR",5,"#","2,882","2.100",5,9,"1","1","#","#","#","#"
"5711","STATU",5,"#","95","#",1,0,"#","#","#","#","#","#"
"5712","stele",5,"#","52","0.060",5,10,"2","#","#","#","#","#"
"5713","Steph",5,"#","830","#",1,10,"1","1","#","#","#","#"
"5714","stets",5,"#","119","#",3,6,"1","#","#","#","#","#"
"5715","sties",5,"#","14","#",4,10,"1","2","#","#","#","0.61"
"5716","stile",5,"98","145","#",7,12,"1","1","#","#","#","#"
"5717","stoat",5,"1","38","0.020",1,12,"1","1","#","#","#","#"
"5718","stoep",5,"#","5","#",4,0,"#","#","#","#","#","#"
"5719","STOLL",5,"#","197","#",5,15,"1","#","#","#","#","#"
"5720","stoup",5,"#","7","0.020",5,12,"1","1","#","#","#","#"
"5721","STOWE",5,"#","448","#",6,7,"1","1","#","#","#","#"
"5722","stows",5,"#","10","0.020",7,15,"1","2","#","#","#","#"
"5723","Strad",5,"#","54","0.040",6,8,"1","#","#","#","#","#"
"5724","STRAM",5,"#","8","#",7,6,"1","#","#","#","#","0.94"
"5725","strid",5,"#","1","#",3,0,"#","#","#","#","#","#"
"5726","strop",5,"1","57","0.160",3,3,"1","1","#","#","#","0.85"
"5727","stuns",5,"#","119","0.140",7,13,"1","2","#","#","#","#"
"5728","STYKA",5,"#","0","#",0,0,"#","#","#","#","#","#"
"5729","SUBIC",5,"#","54","#",2,0,"2","#","#","#","#","#"
"5730","sucks",5,"#","12,837","24.470",11,28,"1","2","#","#","#","#"
"5731","suety",5,"#","0","#",0,1,"3","2","#","#","#","#"
"5732","SUGGS",5,"#","45","#",0,2,"1","#","#","#","#","#"
"5733","sumps",5,"#","17","#",8,10,"1","2","#","#","#","#"
"5734","SUNAY",5,"#","0","#",1,0,"2","#","#","#","#","#"
"5735","supra",5,"#","3,327","#",0,0,"2","1","#","#","#","#"
"5736","surds",5,"#","5","#",3,18,"1","2","#","#","#","#"
"5737","surer",5,"#","95","0.240",3,5,"2","2","#","#","#","#"
"5738","surfs",5,"#","120","0.120",3,7,"1","2","#","#","#","#"
"5739","SVEVO",5,"#","5","#",0,0,"#","#","#","#","#","#"
"5740","swabs",5,"#","122","0.840",8,4,"1","2","#","#","#","#"
"5741","swags",5,"#","7","0.040",10,6,"1","2","#","#","#","#"
"5742","swain",5,"1","302","0.240",4,13,"1","1","#","#","#","#"
"5743","swaps",5,"#","930","0.080",8,10,"1","2","#","#","#","#"
"5744","sward",5,"1","203","#",6,8,"1","1","#","#","#","#"
"5745","swarf",5,"#","1","#",5,6,"1","#","#","#","#","#"
"5746","SWART",5,"1","55","#",5,8,"1","1","#","#","#","#"
"5747","swats",5,"#","224","0.080",12,10,"1","2","#","#","#","#"
"5748","sways",5,"#","86","0.140",9,9,"1","2","#","#","#","#"
"5749","Swazi",5,"#","16","#",1,1,"2","#","#","#","#","#"
"5750","swede",5,"1","333","1.390",1,11,"1","1","#","#","#","#"
"5751","swigs",5,"#","29","0.080",4,7,"1","2","#","#","#","#"
"5752","swims",5,"#","384","1.430",5,7,"1","2","#","#","#","#"
"5753","swots",5,"#","8","#",6,10,"1","2","#","#","#","#"
"5754","sylph",5,"1","39","#",0,6,"1","1","#","#","#","#"
"5755","SYNCE",5,"#","3","#",1,0,"#","#","#","#","#","#"
"5756","synod",5,"1","124","0.020",0,1,"2","1","#","#","#","#"
"5757","SZOLD",5,"#","0","#",1,22,"1","#","#","#","#","#"
"5758","T'IEN",5,"#","14","#",0,0,"#","#","#","#","#","#"
"5759","T'LAH",5,"#","0","#",0,0,"#","#","#","#","#","#"
"5760","TABAC",5,"#","69","0.060",0,0,"#","#","#","#","#","#"
"5761","TABIT",5,"#","5","#",2,0,"#","#","#","#","#","#"
"5762","tabor",5,"#","334","0.200",3,16,"2","1","#","#","#","#"
"5763","tacks",5,"#","375","0.510",14,39,"1","2","#","#","#","#"
"5764","TAGUA",5,"#","25","#",0,0,"#","#","#","#","#","#"
"5765","TAHSE",5,"#","0","#",2,0,"#","#","#","#","#","#"
"5766","TAKIN",5,"#","331","9.060",2,1,"2","1","#","#","#","#"
"5767","talus",5,"#","65","0.080",2,0,"2","1","#","#","#","#"
"5768","tamed",5,"#","223","0.800",10,13,"1","2","#","#","#","#"
"5769","tames",5,"#","24","0.040",17,26,"1","2","#","#","#","#"
"5770","Tamil",5,"#","4,275","0.080",0,7,"2","1","#","#","#","#"
"5771","tammy",5,"#","1,737","5.140",7,23,"2","1","#","#","#","#"
"5772","tamps",5,"#","8","#",8,11,"1","2","#","#","#","0.75"
