"","Word","Length","Freq_KF","Freq_HAL","SUBTLWF","Ortho_N","Phono_N","NSyll","NMorph","I_Mean_RT","I_Zscore","Obs","I_Mean_Accuracy"
"1289","giddy",5,"2","268","1.780",2,17,"2","1","749.857","-0.004","25","0.80"
"1290","gifts",5,"11","5,073","14.350",3,4,"1","2","580.097","-0.579","28","0.97"
"1291","gimme",5,"1","2,168","19.250",0,11,"2","2","853.000","0.355","19","0.23"
"1292","girls",5,"142","26,581","208.350",2,19,"1","2","582.697","-0.737","28","0.97"
"1293","girth",5,"1","237","0.430",4,10,"1","1","766.857","0.118","28","0.62"
"1294","given",5,"377","123,144","95.120",5,3,"2","2","611.364","-0.566","27","1.00"
"1295","giver",5,"1","437","1.160",6,5,"2","2","739.615","-0.215","28","0.79"
"1296","gives",5,"112","54,544","64.510",11,10,"1","2","653.633","-0.458","28","0.94"
"1297","glace",5,"#","95","0.100",5,1,"2","#","626.045","-0.437","18","0.67"
"1298","glade",5,"#","214","0.390",6,13,"1","1","649.000","-0.244","27","0.91"
"1299","gland",5,"9","740","1.510",3,6,"1","1","735.037","-0.258","27","0.84"
"1300","glare",5,"7","908","1.610",6,10,"1","1","602.091","-0.637","26","0.94"
"1301","glass",5,"99","20,768","60.710",3,5,"1","1","572.735","-0.758","27","0.97"
"1302","glaze",5,"11","504","0.880",5,15,"1","1","661.968","-0.649","28","0.97"
"1303","gleam",5,"4","451","0.980",1,5,"1","1","750.929","-0.130","26","0.85"
"1304","glean",5,"1","302","0.040",3,9,"1","1","801.158","0.161","25","0.56"
"1305","glees",5,"1","3","#",4,12,"1","2","969.769","0.333","25","0.39"
"1306","Glenn",5,"6","8,629","#",2,3,"1","1","840.107","0.036","27","0.82"
"1307","glide",5,"2","1,428","2.350",4,9,"1","1","650.273","-0.498","28","0.97"
"1308","glint",5,"2","812","0.310",2,2,"1","1","813.800","0.127","26","0.61"
"1309","gloat",5,"#","313","1.570",3,7,"1","1","743.115","-0.195","27","0.79"
"1310","globe",5,"13","5,452","5.220",2,5,"1","1","622.636","-0.608","27","1.00"
"1311","gloom",5,"14","3,144","1.160",2,12,"1","1","631.941","-0.483","26","1.00"
"1312","glory",5,"21","9,891","21.490",1,0,"2","1","622.188","-0.631","26","0.94"
"1313","gloss",5,"1","895","1.450",4,1,"1","1","637.500","-0.564","26","0.91"
"1314","glove",5,"9","2,355","10.100",3,2,"1","1","637.229","-0.524","27","1.00"
"1315","glows",5,"1","270","0.820",6,15,"1","2","697.375","-0.274","27","0.97"
"1316","glued",5,"19","1,437","2.250",3,11,"1","2","643.500","-0.478","25","0.91"
"1317","gnash",5,"#","54","0.100",0,20,"1","1","840.188","0.297","22","0.47"
"1318","gnome",5,"1","576","0.630",0,24,"1","1","809.870","0.152","27","0.68"
"1319","goals",5,"40","14,806","5.140",4,39,"1","2","513.344","-0.866","27","0.97"
"1320","godly",5,"#","402","0.290",1,2,"2","2","706.407","-0.214","26","0.79"
"1321","God's",5,"38","15,069","#",1,18,"1","2","650.500","-0.581","26","1.00"
"1322","going",5,"399","305,772","2,123.290",1,12,"2","2","588.774","-0.652","27","0.94"
"1323","golly",5,"#","652","5.160",10,29,"2","1","843.500","0.445","27","0.50"
"1324","gonad",5,"#","21","0.220",0,0,"2","1","898.650","0.554","26","0.62"
"1325","goner",5,"#","66","1.530",3,5,"2","2","792.188","0.097","25","0.48"
"1326","gonna",5,"16","22,084","1,996.160",2,5,"2","2","710.682","-0.010","21","0.67"
"1327","goods",5,"57","12,257","12.310",9,14,"1","1","623.406","-0.578","26","0.97"
"1328","goody",5,"2","703","3.550",5,6,"2","2","808.680","0.294","23","0.76"
"1329","gooey",5,"1","421","0.760",4,14,"2","2","861.714","0.346","25","0.64"
"1330","goofy",5,"#","2,191","5.220",4,2,"2","2","617.133","-0.532","23","0.97"
"1331","goose",5,"4","1,790","13.040",4,17,"1","1","718.647","-0.320","25","1.00"
"1332","gorge",5,"1","832","1.310",4,8,"1","1","737.857","-0.175","27","0.88"
"1333","gotta",5,"5","12,153","506.900",0,3,"2","2","706.240","-0.169","26","0.83"
"1334","Gouda",5,"#","97","0.270",1,3,"2","1","933.625","1.087","18","0.48"
"1335","gouge",5,"1","304","0.690",3,6,"1","1","845.360","0.183","23","0.74"
"1336","gourd",5,"2","185","0.470",1,28,"1","1","741.722","0.327","24","0.56"
"1337","gowns",5,"2","575","1.860",3,10,"1","2","789.464","-0.071","24","0.82"
"1338","grabs",5,"3","2,530","3.730",7,8,"1","2","599.871","-0.488","27","0.91"
"1339","grace",5,"40","11,819","42.290",8,22,"1","1","594.677","-0.656","28","0.97"
"1340","grade",5,"35","14,834","29.270",9,23,"1","1","570.485","-0.688","28","1.00"
"1341","grads",5,"2","1,480","0.140",9,6,"1","2","777.643","-0.133","27","0.85"
"1342","graft",5,"1","520","1.650",6,7,"1","1","909.235","0.164","28","0.52"
"1343","grail",5,"2","1,597","2.690",3,20,"1","1","887.696","0.191","27","0.72"
"1344","grain",5,"27","6,577","4.760",5,28,"1","1","622.909","-0.564","28","0.97"
"1345","grams",5,"18","2,593","7.490",8,12,"1","2","713.781","-0.202","26","0.94"
"1346","grand",5,"48","22,146","63.020",5,11,"1","1","645.152","-0.406","27","0.94"
"1347","grant",5,"47","22,314","32.550",6,9,"1","1","608.657","-0.472","24","1.00"
"1348","grape",5,"3","1,637","4.000",10,22,"1","1","592.576","-0.578","25","0.97"
"1349","graph",5,"17","4,545","0.750",1,7,"1","1","674.364","-0.415","28","1.00"
"1350","grasp",5,"17","5,765","4.570",1,2,"1","1","781.848","-0.263","27","1.00"
"1351","grass",5,"53","7,354","16.780",9,14,"1","1","563.235","-0.728","27","1.00"
"1352","grate",5,"3","734","1.020",10,24,"1","1","689.688","-0.265","25","0.94"
"1353","grave",5,"33","7,527","26.270",9,19,"1","1","632.471","-0.666","28","0.97"
"1354","gravy",5,"4","916","5.270",2,6,"2","1","720.353","-0.349","27","1.00"
"1355","graze",5,"1","263","0.760",8,27,"1","1","672.103","-0.392","24","0.94"
"1356","great",5,"665","260,267","820.860",4,24,"1","1","598.469","-0.762","25","1.00"
"1357","greed",5,"3","4,307","4.800",8,19,"1","1","679.939","-0.359","27","0.97"
"1358","Greek",5,"61","19,881","11.330",5,15,"1","1","627.636","-0.422","27","0.97"
"1359","green",5,"116","90,773","72.470",5,19,"1","1","623.471","-0.660","23","1.00"
"1360","greet",5,"7","921","5.250",6,16,"1","1","700.792","-0.348","28","0.75"
"1361","grief",5,"10","3,903","10.820",1,14,"1","1","611.147","-0.503","27","1.00"
"1362","grill",5,"12","1,495","4.450",4,16,"1","1","600.121","-0.662","26","0.97"
"1363","grime",5,"#","307","0.410",5,7,"1","1","833.360","0.179","26","0.74"
"1364","Grimm",5,"2","527","1.290",2,14,"1","1","822.125","0.554","28","0.50"
"1365","grimy",5,"#","137","0.510",2,2,"2","2","721.250","0.060","25","0.73"
"1366","grind",5,"2","3,060","3.730",2,8,"1","1","601.645","-0.600","24","0.94"
"1367","grins",5,"2","885","0.250",6,13,"1","2","674.367","-0.167","26","0.88"
"1368","gripe",5,"#","1,429","0.780",5,7,"1","1","661.172","-0.529","27","0.88"
"1369","grips",5,"9","1,952","1.220",6,9,"1","2","649.969","-0.409","26","0.94"
"1370","grist",5,"2","265","0.100",3,11,"1","1","770.600","0.183","21","0.31"
"1371","grits",5,"3","228","1.590",6,6,"1","2","717.308","-0.270","27","0.76"
"1372","groan",5,"1","1,014","0.920",3,19,"1","1","632.667","-0.430","27","0.94"
"1373","groat",5,"1","93","0.060",4,15,"1","1","673.667","-0.297","21","0.10"
"1374","groin",5,"4","1,297","1.800",3,7,"1","1","773.750","-0.169","27","0.85"
"1375","groom",5,"5","1,692","7.820",3,9,"1","1","718.839","-0.179","28","0.91"
"1376","grope",5,"1","170","0.610",4,14,"1","1","752.846","-0.138","25","0.79"
"1377","gross",5,"66","8,314","15.270",6,13,"1","1","563.727","-0.716","27","0.97"
"1378","group",5,"390","284,243","73.760",2,13,"1","1","592.312","-0.585","27","0.97"
"1379","grove",5,"14","3,900","3.860",6,15,"1","1","695.517","-0.411","22","0.91"
"1380","growl",5,"4","616","0.980",3,6,"1","1","603.355","-0.607","25","0.91"
"1381","grown",5,"43","10,655","25.000",8,19,"1","2","655.581","-0.439","25","0.97"
"1382","grows",5,"22","5,601","9.490",8,20,"1","2","577.500","-0.591","27","0.97"
"1383","grubs",5,"1","151","0.450",3,6,"1","2","803.808","-0.024","26","0.79"
"1384","gruel",5,"#","98","0.450",1,2,"1","1","687.966","-0.270","27","0.85"
"1385","gruff",5,"4","206","0.550",1,6,"1","1","784.053","0.170","26","0.58"
"1386","grunt",5,"2","1,108","2.220",3,3,"1","1","808.129","-0.173","27","0.94"
"1387","guano",5,"#","90","0.390",0,0,"2","1","664.400","-0.098","20","0.15"
"1388","guard",5,"48","16,067","58.200",0,18,"1","1","606.276","-0.695","28","0.91"
"1389","guava",5,"#","155","0.250",0,0,"2","1","799.737","0.222","22","0.59"
"1390","guess",5,"56","98,363","453.980",1,20,"1","1","597.625","-0.657","28","1.00"
"1391","guest",5,"39","14,822","39.940",2,19,"1","1","630.257","-0.571","27","1.00"
"1392","guide",5,"36","53,202","17.840",3,28,"1","1","601.324","-0.547","28","1.00"
"1393","guild",5,"7","3,650","2.020",3,19,"1","1","789.556","-0.147","25","0.79"
"1394","guile",5,"1","420","1.020",4,30,"1","1","778.850","-0.044","25","0.59"
"1395","guilt",5,"33","5,016","14.900",4,16,"1","1","607.853","-0.666","28","1.00"
"1396","guise",5,"6","1,139","0.550",3,28,"1","1","665.167","-0.132","21","0.55"
"1397","gulch",5,"#","152","0.710",1,7,"1","1","716.765","-0.172","27","0.52"
"1398","gully",5,"5","215","0.920",8,17,"2","1","863.667","0.347","26","0.79"
"1399","gulps",5,"1","119","0.250",3,4,"1","2","767.690","-0.093","28","0.91"
"1400","gumbo",5,"#","360","0.880",1,1,"2","1","835.194","0.071","25","0.94"
"1401","gummy",5,"#","129","0.750",5,15,"2","2","794.346","0.092","27","0.81"
"1402","gunny",5,"6","39","0.630",5,19,"2","1","755.857","-0.280","26","0.21"
"1403","gun's",5,"1","195","#",2,26,"1","2","642.912","-0.414","27","1.00"
"1404","guppy",5,"#","87","0.350",1,6,"2","1","1,056.857","0.525","28","0.64"
"1405","gushy",5,"#","64","0.140",6,9,"2","2","757.032","-0.037","25","0.94"
"1406","gusto",5,"2","694","0.900",2,2,"2","1","787.263","-0.020","26","0.58"
"1407","gusts",5,"3","183","0.220",8,9,"1","2","714.583","-0.151","26","0.77"
"1408","gusty",5,"#","58","0.100",8,7,"2","2","712.938","-0.211","28","0.97"
"1409","gutsy",5,"#","200","0.670",0,0,"2","3","772.607","0.064","25","0.85"
"1410","guy's",5,"3","3,094","#",1,28,"1","2","663.857","-0.485","27","1.00"
"1411","gypsy",5,"4","1,974","6.630",1,2,"2","1","813.906","-0.141","24","0.94"
"1412","gyros",5,"5","137","0.140",1,2,"2","2","731.038","-0.028","21","0.79"
"1413","habit",5,"23","6,475","14.470",2,4,"2","1","636.562","-0.571","25","0.94"
"1414","Hades",5,"#","670","1.610",12,3,"2","1","788.789","0.187","24","0.58"
"1415","haiku",5,"#","575","0.470",0,3,"2","1","766.565","-0.089","24","0.72"
"1416","hails",5,"1","240","0.430",13,40,"1","2","639.321","-0.365","27","0.88"
"1417","hairs",5,"12","2,049","5.200",6,35,"1","2","586.194","-0.740","28","0.91"
"1418","hairy",5,"5","2,708","6.310",4,34,"2","2","611.788","-0.600","28","0.97"
"1419","Haiti",5,"#","2,456","1.550",0,13,"2","1","764.812","-0.086","27","0.97"
"1420","halls",5,"4","2,470","4.000",16,33,"1","2","632.147","-0.490","27","1.00"
"1421","halos",5,"1","99","0.100",4,4,"2","2","753.800","-0.004","25","0.76"
"1422","Hal's",5,"1","144","#",6,25,"1","2","704.207","-0.143","27","0.85"
"1423","halts",5,"1","423","0.060",9,9,"1","2","734.586","-0.155","28","0.91"
"1424","halve",5,"#","215","0.140",5,22,"1","1","845.500","0.185","19","0.53"
"1425","hands",5,"289","58,004","236.530",11,7,"1","2","549.242","-0.849","27","1.00"
"1426","handy",5,"13","9,698","12.220",10,12,"2","2","584.375","-0.668","22","1.00"
"1427","hangs",5,"4","6,222","6.390",8,16,"1","2","632.419","-0.470","24","0.94"
"1428","hanky",5,"#","172","0.820",5,4,"2","1","847.077","0.149","25","0.81"
"1429","happy",5,"98","70,881","333.200",6,9,"2","1","536.273","-0.878","28","1.00"
"1430","hardy",5,"42","3,233","3.690",4,8,"2","2","652.581","-0.531","27","0.94"
"1431","harem",5,"2","535","0.880",2,2,"2","1","767.875","0.219","24","0.73"
"1432","harpy",5,"1","83","0.670",4,6,"2","1","742.182","0.069","25","0.32"
"1433","harry",5,"35","12,182","82.220",13,19,"2","1","753.548","-0.138","28","0.91"
"1434","harsh",5,"12","4,910","7.100",1,9,"1","1","625.455","-0.559","27","1.00"
"1435","haste",5,"9","776","2.080",8,21,"1","1","588.382","-0.607","27","0.97"
"1436","hasty",5,"5","1,003","3.510",4,2,"2","2","660.935","-0.489","26","0.97"
"1437","hatch",5,"5","2,609","12.820",11,28,"1","1","611.719","-0.666","25","0.97"
"1438","hated",5,"28","5,891","28.220",11,23,"2","2","659.588","-0.501","27","1.00"
"1439","hates",5,"4","3,770","25.750",15,27,"1","2","589.483","-0.641","28","0.91"
"1440","hauls",5,"2","159","0.450",6,33,"1","2","804.774","0.014","27","0.97"
"1441","haunt",5,"4","954","3.570",6,11,"1","1","637.303","-0.468","27","1.00"
"1442","haven",5,"11","5,461","369.490",3,5,"2","1","823.200","0.034","25","1.00"
"1443","havoc",5,"3","1,555","1.350",0,3,"2","1","793.407","0.024","27","0.82"
"1444","hawks",5,"1","1,297","2.730",4,20,"1","2","621.606","-0.451","28","1.00"
"1445","Haydn",5,"2","480","0.250",0,9,"2","1","1,173.000","1.247","16","0.10"
"1446","Hayes",5,"5","6,492","5.730",7,53,"1","1","693.806","-0.281","27","0.91"
"1447","hazel",5,"2","1,412","1.080",2,5,"2","1","650.032","-0.459","25","0.97"
"1448","hazes",5,"1","9","#",14,12,"2","2","676.500","-0.542","27","0.94"
"1449","heads",5,"43","17,890","42.690",12,24,"1","2","561.312","-0.710","25","0.94"
"1450","heady",5,"2","291","0.390",5,16,"2","2","719.571","-0.380","20","0.62"
"1451","heaps",5,"1","884","0.510",9,20,"1","2","689.969","-0.320","26","0.97"
"1452","heard",5,"247","133,757","387.750",7,34,"1","1","595.727","-0.620","27","1.00"
"1453","hears",5,"7","2,501","9.220",21,29,"1","2","608.125","-0.605","27","0.94"
"1454","heart",5,"173","45,783","244.180",4,17,"1","1","575.406","-0.768","28","0.97"
"1455","heave",5,"2","298","3.650",6,22,"1","1","708.346","-0.253","24","0.79"
"1456","heavy",5,"110","32,826","47.290",2,9,"2","1","566.576","-0.811","28","0.97"
"1457","hedge",5,"2","795","1.550",3,16,"1","1","677.367","-0.264","27","0.88"
"1458","heels",5,"23","4,619","10.000",7,30,"1","2","596.688","-0.678","28","0.97"
"1459","hefty",5,"1","1,164","1.220",0,0,"2","1","747.548","-0.060","26","0.89"
"1460","heirs",5,"2","786","0.800",3,15,"1","2","688.423","-0.277","25","0.81"
"1461","Helen",5,"13","4,389","37.710",1,7,"2","1","646.265","-0.374","27","1.00"
"1462","he'll",5,"31","11,453","#",1,43,"1","2","753.310","-0.130","24","0.85"
"1463","hello",5,"10","41,649","585.430",3,6,"2","1","576.833","-0.726","27","0.94"
"1464","helps",5,"31","48,115","21.250",4,4,"1","2","577.219","-0.742","27","0.97"
"1465","hence",5,"58","20,117","4.840",2,13,"1","1","718.394","-0.285","24","0.97"
"1466","henna",5,"#","80","0.220",2,8,"2","1","872.000","0.223","22","0.22"
"1467","Henry",5,"83","21,994","76.550",2,0,"2","1","680.750","-0.470","25","0.97"
"1468","hen's",5,"1","60","#",3,27,"1","2","725.788","-0.174","24","0.97"
"1469","herbs",5,"3","2,416","2.760",3,6,"1","2","631.152","-0.456","27","1.00"
"1470","herds",5,"6","413","0.780",3,18,"1","2","697.647","-0.335","27","0.97"
"1471","Herod",5,"#","244","#",1,4,"2","1","743.045","0.050","20","0.65"
"1472","heron",5,"1","336","0.270",1,2,"2","1","786.100","0.291","21","0.61"
"1473","hertz",5,"1","858","0.630",0,12,"1","1","789.321","-0.133","27","0.88"
"1474","Hesse",5,"#","541","#",1,29,"1","1","763.364","-0.112","13","0.34"
"1475","hicks",5,"1","1,553","4.450",12,32,"1","2","701.323","-0.355","28","0.94"
"1476","hides",5,"5","1,980","3.750",10,18,"1","2","689.903","-0.457","26","0.91"
"1477","highs",5,"2","1,406","0.690",1,46,"1","2","651.667","-0.571","29","0.94"
"1478","hiked",5,"1","479","0.370",8,11,"1","2","598.059","-0.619","26","0.97"
"1479","hiker",5,"#","988","0.270",2,6,"2","2","630.969","-0.480","28","0.97"
"1480","hikes",5,"4","874","0.330",12,21,"1","2","704.100","-0.401","28","0.94"
"1481","hills",5,"50","10,411","20.140",15,34,"1","2","651.219","-0.506","26","0.97"
"1482","hilly",5,"#","552","1.220",10,27,"2","2","822.700","0.140","27","0.61"
"1483","Hindi",5,"#","1,604","0.310",2,5,"2","1","780.815","0.263","26","0.77"
"1484","Hindu",5,"3","4,402","1.020",2,0,"2","1","695.312","-0.250","27","0.94"
"1485","hinge",5,"1","955","0.570",3,4,"1","1","733.200","-0.235","27","0.91"
"1486","hints",5,"10","9,890","1.630",7,7,"1","2","595.933","-0.775","26","0.91"
"1487","hippo",5,"#","363","1.410",0,4,"2","1","781.818","-0.019","28","0.97"
"1488","hired",5,"25","5,995","33.000",11,13,"1","2","540.088","-0.800","26","1.00"
"1489","hires",5,"1","1,228","1.610",11,21,"1","2","634.774","-0.414","28","0.97"
"1490","hitch",5,"5","1,585","4.080",9,24,"1","1","685.172","-0.396","26","0.88"
"1491","hit's",5,"1","43","#",0,25,"1","#","707.290","-0.307","27","0.94"
"1492","hives",5,"#","366","1.250",12,17,"1","2","671.594","-0.466","28","0.94"
"1493","hoagy",5,"1","38","0.040",1,9,"2","1","1,113.625","0.827","22","0.26"
"1494","hoard",5,"#","529","0.450",3,29,"1","1","830.760","0.007","27","0.76"
"1495","hoary",5,"#","122","0.020",3,22,"2","2","848.571","0.582","16","0.40"
"1496","hobby",5,"4","7,899","6.940",4,13,"2","1","574.382","-0.726","26","0.97"
"1497","Hogan",5,"11","3,103","1.780",3,1,"2","1","690.815","-0.240","27","0.79"
"1498","hoist",5,"1","531","2.060",2,9,"1","1","692.355","-0.232","26","0.91"
"1499","holds",5,"42","14,390","14.270",6,8,"1","2","542.469","-0.768","27","0.97"
"1500","holed",5,"1","223","1.920",8,35,"1","2","822.500","0.085","27","0.71"
"1501","holes",5,"39","11,813","15.270",14,45,"1","2","589.121","-0.600","27","1.00"
"1502","holly",5,"#","4,146","10.750",10,30,"2","1","690.935","-0.376","22","0.94"
"1503","Homer",5,"16","7,029","6.670",5,11,"2","1","621.091","-0.515","26","1.00"
"1504","homes",5,"62","9,838","14.160",11,19,"1","2","632.559","-0.532","26","1.00"
"1505","homey",5,"#","186","3.350",6,11,"2","2","778.885","0.208","26","0.79"
"1506","honey",5,"25","9,093","300.490",8,15,"2","1","631.455","-0.557","28","1.00"
"1507","honor",5,"66","11,938","96.310",1,7,"2","1","595.848","-0.768","27","1.00"
"1508","hooch",5,"1","90","1.040",3,18,"1","1","852.480","0.303","24","0.74"
"1509","hoods",5,"2","518","1.530",10,10,"1","2","625.500","-0.490","25","0.94"
"1510","hooey",5,"#","144","0.840",5,21,"2","1","940.875","0.509","19","0.25"
"1511","hoofs",5,"7","46","0.240",7,8,"1","2","744.862","-0.069","24","0.91"
"1512","hooks",5,"2","2,469","4.160",13,21,"1","2","598.273","-0.698","27","0.97"
"1513","hooky",5,"#","38","0.840",5,11,"2","1","863.750","0.124","23","0.73"
"1514","hoops",5,"3","4,738","2.760",8,14,"1","2","724.000","-0.421","25","0.94"
"1515","hoots",5,"1","106","0.570",13,24,"1","2","802.520","0.118","25","0.74"
"1516","hoped",5,"48","5,531","16.270",12,13,"1","2","660.676","-0.511","26","1.00"
"1517","hopes",5,"48","8,212","15.100",13,16,"1","2","579.300","-0.654","27","0.94"
"1518","horde",5,"2","1,231","1.140",3,29,"1","1","696.083","-0.099","27","0.77"
"1519","horns",5,"8","2,350","6.200",4,11,"1","2","685.355","-0.387","27","0.94"
"1520","horny",5,"#","3,207","8.390",4,5,"2","2","778.719","-0.191","24","0.94"
"1521","horse",5,"117","23,855","92.880",10,16,"1","1","626.212","-0.638","27","1.00"
"1522","horsy",5,"#","13","0.370",2,5,"2","2","829.273","0.177","21","0.65"
"1523","hoses",5,"2","1,033","1.080",12,8,"2","2","692.667","-0.484","25","0.91"
"1524","hosts",5,"5","8,163","1.880",5,9,"1","2","594.636","-0.631","27","0.97"
"1525","hotel",5,"126","20,364","103.220",3,2,"2","1","573.853","-0.805","27","1.00"
"1526","hound",5,"7","2,575","5.040",7,15,"1","1","607.688","-0.579","26","1.00"
"1527","hours",5,"175","77,067","214.880",7,8,"1","2","599.853","-0.693","28","1.00"
"1528","house",5,"591","104,153","514.000",7,20,"1","1","494.000","-0.998","28","1.00"
"1529","hover",5,"4","731","1.160",8,5,"2","1","684.889","-0.105","27","0.82"
"1530","how'd",5,"3","497","#",1,27,"1","2","890.133","0.328","26","0.45"
"1531","howdy",5,"1","1,932","13.020",4,11,"2","1","659.269","-0.265","27","0.79"
"1532","howls",5,"3","427","1.250",6,22,"1","2","686.242","-0.235","24","0.97"
"1533","how's",5,"10","3,095","#",3,28,"1","2","686.920","-0.309","25","0.76"
"1534","hubba",5,"2","148","1.250",1,0,"#","#","809.100","0.276","27","0.29"
"1535","hubby",5,"1","846","1.000",4,7,"2","1","775.083","-0.075","29","0.73"
"1536","huffy",5,"#","320","0.390",3,8,"2","2","778.591","0.045","28","0.67"
"1537","hulks",5,"3","101","0.040",6,4,"1","2","783.792","0.050","28","0.71"
"1538","human",5,"299","180,168","124.760",0,3,"2","1","562.545","-0.766","24","0.97"
"1539","humid",5,"1","646","0.880",1,1,"2","1","626.500","-0.499","25","0.97"
"1540","humor",5,"47","12,777","16.650",2,1,"2","1","596.118","-0.735","24","1.00"
"1541","humph",5,"#","83","0.370",1,3,"1","1","935.750","0.319","22","0.36"
"1542","humus",5,"#","83","0.060",2,1,"2","1","816.750","0.341","19","0.75"
"1543","hunch",5,"7","731","7.510",6,8,"1","1","669.029","-0.323","27","0.97"
"1544","hunts",5,"2","700","1.180",7,6,"1","2","602.677","-0.625","26","0.91"
"1545","hurry",5,"36","5,137","173.650",4,11,"2","1","598.531","-0.602","27","1.00"
"1546","hurts",5,"4","5,528","37.390",3,12,"1","2","574.324","-0.690","28","1.00"
"1547","husky",5,"3","716","1.590",4,4,"2","2","729.935","-0.358","27","0.97"
"1548","hussy",5,"#","195","1.240",3,7,"2","1","738.680","-0.094","25","0.74"
"1549","hutch",5,"#","374","3.610",5,18,"1","1","841.733","-0.029","27","0.88"
"1550","Hydra",5,"#","4,159","0.450",0,0,"2","1","852.600","0.301","26","0.61"
"1551","hyena",5,"1","140","1.410",0,0,"3","1","862.333","0.222","24","0.64"
"1552","hymen",5,"13","247","0.490",0,7,"2","1","763.826","-0.035","22","0.74"
"1553","hymns",5,"6","581","0.940",0,20,"1","2","601.065","-0.542","26","0.91"
"1554","icing",5,"1","1,010","1.390",0,1,"2","2","730.912","-0.145","28","0.97"
"1555","Idaho",5,"3","4,863","0.550",0,0,"3","1","664.900","-0.493","26","0.91"
"1556","ideal",5,"61","17,084","7.330",1,1,"2","1","617.294","-0.568","28","1.00"
"1557","ideas",5,"143","69,254","38.960",1,1,"2","2","678.968","-0.553","27","0.97"
"1558","idiom",5,"7","578","0.240",1,3,"2","1","795.962","-0.032","25","0.76"
"1559","idiot",5,"2","11,911","66.220",1,1,"2","1","664.161","-0.512","26","1.00"
"1560","idled",5,"1","65","0.020",2,6,"2","2","734.885","-0.040","24","0.84"
"1561","idols",5,"2","1,190","0.470",0,6,"2","2","807.833","0.001","26","0.91"
"1562","idyll",5,"2","36","0.040",0,4,"2","1","1,114.818","0.853","10","0.33"
"1563","igloo",5,"#","146","0.290",0,0,"2","1","801.448","-0.094","25","0.85"
"1564","Ike's",5,"1","38","#",0,9,"1","#","708.923","-0.024","28","0.84"
"1565","Iliad",5,"14","216","0.020",1,1,"2","1","837.966","0.165","26","0.88"
"1566","image",5,"119","63,630","22.630",0,2,"2","1","629.375","-0.553","25","0.94"
"1567","impel",5,"#","394","0.060",0,2,"2","2","697.667","-0.127","25","0.47"
"1568","imply",5,"12","8,977","2.690",1,1,"2","1","725.516","-0.253","27","0.91"
"1569","inane",5,"1","1,335","0.430",0,2,"2","1","889.875","0.517","23","0.48"
"1570","inapt",5,"1","12","#",1,3,"2","2","996.231","0.806","26","0.41"
"1571","incur",5,"5","1,514","0.550",0,4,"2","2","713.714","-0.133","25","0.62"
"1572","index",5,"81","32,443","2.080",0,0,"2","1","594.576","-0.571","27","0.97"
"1573","India",5,"58","28,393","1.410",0,1,"2","1","563.515","-0.720","28","0.97"
"1574","inept",5,"2","1,017","0.840",2,1,"2","2","797.000","0.114","28","0.76"
"1575","inert",5,"5","622","0.350",1,2,"2","2","724.533","-0.202","25","0.86"
"1576","infer",5,"1","1,469","0.570",2,1,"2","2","802.517","0.037","26","0.88"
"1577","ingot",5,"#","69","0.040",0,0,"2","1","752.857","-0.078","10","0.21"
"1578","inlay",5,"#","175","0.250",0,1,"2","2","909.556","0.346","27","0.56"
"1579","inlet",5,"4","771","0.450",2,1,"2","2","810.259","0.187","26","0.79"
"1580","inner",5,"55","11,691","9.940",2,7,"2","2","653.312","-0.507","27","0.94"
"1581","input",5,"20","35,427","2.980",0,0,"2","2","638.906","-0.449","27","0.94"
"1582","inset",5,"1","351","0.020",2,5,"2","2","718.296","-0.238","26","0.84"
"1583","inter",5,"2","2,493","0.350",3,3,"2","1","865.773","0.085","24","0.67"
"1584","intro",5,"#","5,868","2.000",1,1,"2","1","654.788","-0.559","26","1.00"
"1585","inure",5,"1","21","0.020",0,4,"2","1","898.750","0.710","12","0.24"
"1586","Iraqi",5,"#","1,763","0.100",1,0,"3","2","932.231","0.458","25","0.81"
"1587","irate",5,"1","477","0.610",3,8,"2","1","777.200","0.123","24","0.74"
"1588","Irene",5,"2","1,037","3.160",0,4,"2","1","762.636","-0.219","25","0.97"
"1589","Irish",5,"28","11,181","1.550",1,2,"2","2","670.788","-0.482","28","0.97"
"1590","irons",5,"7","2,341","1.860",2,3,"1","2","665.387","-0.477","25","0.94"
"1591","irony",5,"12","3,059","4.570",2,0,"3","2","620.879","-0.512","28","1.00"
"1592","Isaac",5,"10","4,443","3.220",0,0,"2","1","664.032","-0.272","25","0.91"
"1593","Islam",5,"3","12,238","0.140",1,0,"2","1","680.719","-0.399","27","0.97"
"1594","isles",5,"4","1,257","0.200",2,12,"1","2","742.667","0.061","23","0.75"
"1595","islet",5,"#","1,311","#",2,1,"2","2","919.143","0.505","9","0.22"
"1596","isn't",5,"97","145,865","#",0,0,"2","2","638.758","-0.566","28","0.97"
"1597","issue",5,"152","117,620","34.140",0,0,"2","1","640.935","-0.661","26","0.94"
"1598","Italy",5,"34","12,882","1.470",1,1,"3","1","631.265","-0.641","26","0.97"
"1599","itchy",5,"#","865","2.270",0,3,"2","2","629.882","-0.588","28","1.00"
"1600","items",5,"72","49,636","6.730",1,4,"2","2","606.062","-0.636","27","0.97"
"1601","it'll",5,"18","14,916","#",0,4,"2","2","774.840","0.062","28","0.81"
"1602","ivies",5,"2","41","0.020",1,1,"2","2","1,012.167","0.613","21","0.19"
